Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-03-01T10:13:19,66907,2761,31536,30.9756,112.2707
Guangdong,Mainland China,2020-03-01T14:13:18,1349,7,1016,23.3417,113.4244
Henan,Mainland China,2020-03-01T14:13:18,1272,22,1198,33.882,113.61399999999999
Zhejiang,Mainland China,2020-03-01T10:13:33,1205,1,1046,29.1832,120.0934
Hunan,Mainland China,2020-03-01T10:03:03,1018,4,866,27.6104,111.7088
Anhui,Mainland China,2020-03-01T10:03:03,990,6,873,31.8257,117.2264
Jiangxi,Mainland China,2020-03-01T01:13:10,935,1,831,27.614,115.7221
Shandong,Mainland China,2020-03-01T11:33:03,758,6,443,36.3427,118.1498
Diamond Princess cruise ship,Others,2020-02-29T01:43:02,705,6,10,35.4437,139.638
Jiangsu,Mainland China,2020-03-01T10:03:03,631,0,536,32.9711,119.455
Chongqing,Mainland China,2020-03-01T23:13:08,576,6,450,30.0572,107.874
Sichuan,Mainland China,2020-03-01T11:43:02,538,3,365,30.6171,102.7103
Heilongjiang,Mainland China,2020-03-01T11:33:03,480,13,342,47.861999999999995,127.7615
Beijing,Mainland China,2020-03-01T02:53:03,413,8,276,40.1824,116.4142
Shanghai,Mainland China,2020-03-01T07:13:07,337,3,290,31.201999999999998,121.4491
Hebei,Mainland China,2020-03-01T14:13:18,318,6,294,38.0428,114.5149
Fujian,Mainland China,2020-03-01T09:43:03,296,1,247,26.0789,117.9874
Guangxi,Mainland China,2020-03-01T09:43:03,252,2,181,23.8298,108.7881
Shaanxi,Mainland China,2020-03-01T09:43:03,245,1,208,35.1917,108.8701
Yunnan,Mainland China,2020-03-01T07:13:07,174,2,163,24.974,101.48700000000001
Hainan,Mainland China,2020-03-01T10:13:38,168,5,149,19.1959,109.7453
Guizhou,Mainland China,2020-02-27T00:43:02,146,2,112,26.8154,106.8748
Tianjin,Mainland China,2020-03-01T12:43:02,136,3,111,39.3054,117.323
Shanxi,Mainland China,2020-03-01T23:13:08,133,0,116,37.5777,112.2922
Liaoning,Mainland China,2020-03-01T12:23:06,122,1,103,41.2956,122.6085
Hong Kong,Hong Kong,2020-03-01T14:33:16,96,2,36,22.3,114.2
Jilin,Mainland China,2020-03-01T09:43:03,93,1,78,43.6661,126.1923
Gansu,Mainland China,2020-03-01T14:33:17,91,2,84,36.0611,103.8343
Xinjiang,Mainland China,2020-03-01T10:03:03,76,3,64,41.1129,85.2401
Inner Mongolia,Mainland China,2020-03-01T10:03:03,75,0,52,44.0935,113.9448
Ningxia,Mainland China,2020-02-29T05:53:02,73,0,69,37.2692,106.1655
Unassigned Location (From Diamond Princess),US,2020-02-28T20:03:03,44,0,0,35.4437,139.638
Taiwan,Taiwan,2020-03-01T07:43:01,40,1,9,23.7,121.0
Qinghai,Mainland China,2020-02-21T04:43:02,18,0,18,35.7452,95.9956
"Toronto, ON",Canada,2020-03-01T23:33:03,14,0,2,43.6532,-79.3832
Macau,Macau,2020-02-27T12:43:02,10,0,8,22.1667,113.55
Queensland,Australia,2020-02-29T02:03:10,9,0,1,-28.0167,153.4
"Seattle, WA",US,2020-03-01T21:13:12,9,1,1,47.6062,-122.3321
British Columbia,Canada,2020-02-29T23:23:13,8,0,3,49.2827,-123.1207
Victoria,Australia,2020-02-29T02:03:10,7,0,4,-37.8136,144.9631
New South Wales,Australia,2020-03-01T23:33:03,6,0,4,-33.8688,151.2093
South Australia,Australia,2020-02-29T02:03:10,3,0,2,-34.9285,138.6007
"Chicago, IL",US,2020-03-01T03:53:02,3,0,2,41.8781,-87.6298
"Santa Clara, CA",US,2020-02-29T01:33:03,3,0,1,37.3541,-121.9552
Western Australia,Australia,2020-03-01T02:43:03,2,1,0,-31.9505,115.8605
"Sacramento County, CA",US,2020-02-27T20:33:02,2,0,0,38.4747,-121.3542
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0,36.5761,-120.9876
"San Diego County, CA",US,2020-02-21T05:43:02,2,0,1,32.7157,-117.1611
"Snohomish County, WA",US,2020-03-01T20:23:06,2,0,0,48.033,-121.8339
" Montreal, QC",Canada,2020-02-28T05:23:07,1,0,0,45.5017,-73.5673
"London, ON",Canada,2020-02-12T18:53:03,1,0,1,42.9849,-81.2453
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1,31.6927,88.0924
"Boston, MA",US,2020-02-28T21:13:12,1,0,1,42.3601,-71.0589
"Humboldt County, CA",US,2020-02-21T05:13:09,1,0,0,40.745,-123.8695
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0,34.0522,-118.2437
"Madison, WI",US,2020-02-05T21:53:02,1,0,0,43.0731,-89.4012
"Orange, CA",US,2020-02-01T19:53:03,1,0,0,33.7879,-117.8531
"Portland, OR",US,2020-02-29T02:23:11,1,0,0,45.5051,-122.675
"Providence, RI",US,2020-03-01T15:33:03,1,0,0,41.824,-71.4128
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0,29.4241,-98.4936
"Tempe, AZ",US,2020-02-25T21:23:03,1,0,1,33.4255,-111.94
From Diamond Princess,Australia,2020-02-29T02:03:10,0,0,0,35.4437,139.638
"Lackland, TX (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,29.3829,-98.6134
"Omaha, NE (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,41.2545,-95.9758
"Travis, CA (From Diamond Princess)",US,2020-02-24T23:33:02,0,0,0,38.2721,-121.9399
